,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.000903463363647461,0.00019891018433343795,0.16399869918823243,0.17186499521163673,3,1,"{'n_neighbors': 3, 'p': 1}",0.8679907318304809,0.8320219577700523,0.851411014618688,0.8105464927202,0.7978008738229416,0.8319542141524726,0.025698029000387555,3
1,0.0007999897003173828,0.0003999949460831842,0.07931647300720215,0.0016074802035300683,3,2,"{'n_neighbors': 3, 'p': 2}",0.8037044475317763,0.7933061187223234,0.8204117660967183,0.7279847141840943,0.7523930248205084,0.7795600142710841,0.034172595942241056,10
2,0.0010196208953857423,2.6544287292824684e-05,0.0798102855682373,0.002905134832263749,5,1,"{'n_neighbors': 5, 'p': 1}",0.8749084888695399,0.8291793247458856,0.8458149386661822,0.8117297706044565,0.8112581403487539,0.8345781326469636,0.023865541092211697,2
3,0.0009056568145751953,0.0002005460879069599,0.07583446502685547,0.003130712966834897,5,2,"{'n_neighbors': 5, 'p': 2}",0.8384797375297517,0.7970737828816741,0.8279849546126992,0.7531549555056077,0.7698187734287232,0.7973024407916911,0.03268452580128301,9
4,0.0010255336761474609,4.777437175431709e-05,0.07956032752990723,0.0019356203159043219,7,1,"{'n_neighbors': 7, 'p': 1}",0.8790239916952804,0.8285979534088386,0.8456321685782481,0.8083599855168938,0.8133089619087792,0.834984612221608,0.025582538479338165,1
5,0.0008025646209716796,0.0004012920951466271,0.07587089538574218,0.003010905070435936,7,2,"{'n_neighbors': 7, 'p': 2}",0.8476000804968731,0.8032318350088936,0.8322564096333964,0.7656052832770202,0.7834823953227292,0.8064352007477826,0.030217402743049578,7
6,0.0009021282196044922,0.00019965949065041565,0.07864809036254883,0.003969619850904091,9,1,"{'n_neighbors': 9, 'p': 1}",0.8733776770675703,0.8246034993509029,0.8443478837085829,0.8094071313590037,0.8054098184417607,0.831429201985564,0.025040515291438945,4
7,0.0012011051177978516,0.00039926032272505975,0.07442870140075683,0.0016003884414899341,9,2,"{'n_neighbors': 9, 'p': 2}",0.8543883350925562,0.805571027101327,0.8293748170301054,0.7681560977879055,0.7959656949663569,0.8106911943956503,0.02936259099543524,6
8,0.001002025604248047,1.533311385232308e-06,0.07615599632263184,0.002094354651642155,11,1,"{'n_neighbors': 11, 'p': 1}",0.8769631682038918,0.8233267379249652,0.840757002731312,0.8078257064528291,0.8041013481388805,0.8305947926903757,0.026557316404514718,5
9,0.0008016109466552734,0.00040080945498747897,0.07697100639343261,0.0015374408598650877,11,2,"{'n_neighbors': 11, 'p': 2}",0.8485495950669955,0.7991634638484629,0.8278483062191571,0.7664438887851548,0.7897696519176156,0.8063549811674772,0.028851463833687394,8
